a,b,c,Execution time,a-b-c,Rating
1,7,4,36 clocks,xor16_174(),V. good
1,7,11,30 clocks,xor16_17b(),V. good
3,5,11,39 clocks,xor16_35b(),V. good
3,11,11,31 clocks,xor16_3bb(),V.good
3,13,9,29 clocks,xor16_3d9(),V. good
4,3,7,40 clocks,xor16_437(),V. good
4,11,11,33 clocks,xor16_4bb(),V. good
5,9,8,30 clocks,xor16_598(),V. good
7,3,4,40 clocks,xor16_734(),V. good
8,9,5,30 clocks,xor16_895(),V. good
9,13,3,29 clocks,xor16_9d3(),V. good
11,5,3,39 clocks,xor16_b53(),V.Good
11,7,1,30 clocks,xor16_b71(),V. good
11,11,4,33 clocks,xor16_bb4(),V. good
13,3,11,31 clocks,xor16_d3b(),V. good
4,7,1,36 clocks,xor16_471(),Good
9,7,13,28 clocks,xor16_97d(),Good
11,3,13,31 clocks,xor16_b3d(),Good
11,11,3,31 clocks,xor16_bb3(),Good
12,3,13,30 clocks,xor16_c3d(),Good
13,3,12,30 clocks,xor16_d3c(),Good
13,7,9,28 clocks,xor16_d79(),Good
14,7,5,39 clocks,xor16_e75(),Good
1,11,3,31 clocks,xor16_1b3(),Okay
3,11,1,31 clocks,xor16_3b1(),Okay
5,11,6,45 clocks,xor16_5b6(),Okay
6,11,5,45 clocks,xor16_6b5(),Okay
7,9,8,25 clocks,xor16_798(),Okay
7,9,13,28 clocks,xor16_79c(),Okay
8,9,7,25 clocks,xor16_897(),Okay
13,9,7,28 clocks,xor16_c97(),Okay
1,5,2,37 clocks,xor16_152(),V. poor
2,5,13,37 clocks,xor16_25d(),V. poor
2,7,13,32 clocks,xor16_27d(),V. poor
5,7,14,39 clocks,xor16_57e(),V. poor
5,11,11,35 clocks,xor16_5bb(),V. poor
6,7,13,40 clocks,xor16_67d(),V. poor
11,11,5,35 clocks,xor16_bb5(),V. poor
13,5,2,37 clocks,xor16_d52(),V. poor
13,7,2,32 clocks,xor16_d72(),V. poor
13,7,6,40 clocks,xor16_d76(),V. poor
15,5,2,36 clocks,xor16_f52(),V. poor
15,7,2,31 clocks,xor16_f72(),V. poor
1,1,14,26 clocks,xor16_11e(),Terrible
1,1,15,28 clocks,xor16_11f(),Terrible
1,15,6,36 clocks,xor16_1f6(),Terrible
1,15,7,29 clocks,xor16_1f7(),Terrible
2,5,1,37 clocks,xor16_251(),Terrible
2,5,15,36 clocks,xor16_25f(),Terrible
2,7,15,31 clocks,xor16_27f(),Terrible
3,1,12,30 clocks,xor16_31c(),Terrible
3,1,15,30 clocks,xor16_31f(),Terrible
6,15,1,36 clocks,xor16_6f1(),Terrible
7,1,11,30 clocks,xor16_71b(),Terrible
7,15,1,29 clocks,xor16_7f1(),Terrible
11,1,7,30 clocks,xor16_b17(),Terrible
12,1,3,30 clocks,xor16_c13(),Terrible
14,1,1,26 clocks,xor16_e11(),Terrible
15,1,1,28 clocks,xor16_f11(),Terrible
15,1,3,30 clocks,xor16_f13(),Terrible
